league,season,team,player,nation,pos,age,born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
ENG-Premier League,1920,Arsenal,Ainsley Maitland-Niles,ENG,DF,21,1997,15.4,0,4,1,25.0,0.26,0.06,0.0,0.0,18.0,0,0,0,0.4,0.4,0.11,-0.4,-0.4
ENG-Premier League,1920,Arsenal,Alexandre Lacazette,FRA,FW,28,1991,20.8,10,52,26,50.0,2.5,1.25,0.19,0.38,12.6,3,0,0,8.1,8.1,0.17,1.9,1.9
ENG-Premier League,1920,Arsenal,Bernd Leno,GER,GK,27,1992,29.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Arsenal,Bukayo Saka,ENG,"DF,FW",17,2001,19.5,1,13,4,30.8,0.67,0.21,0.08,0.25,17.9,0,0,0,1.0,1.0,0.07,0.0,0.0
ENG-Premier League,1920,Arsenal,Calum Chambers,ENG,DF,24,1995,12.2,1,12,2,16.7,0.98,0.16,0.08,0.5,12.0,0,0,0,0.8,0.8,0.07,0.2,0.2
ENG-Premier League,1920,Arsenal,Cédric Soares,POR,"MF,DF",27,1991,2.8,1,1,1,100.0,0.36,0.36,1.0,1.0,26.4,0,0,0,0.0,0.0,0.02,1.0,1.0
ENG-Premier League,1920,Arsenal,Dani Ceballos,ESP,MF,22,1996,18.8,0,13,3,23.1,0.69,0.16,0.0,0.0,22.8,0,0,0,0.6,0.6,0.04,-0.6,-0.6
ENG-Premier League,1920,Arsenal,David Luiz,BRA,DF,32,1987,31.2,2,23,8,34.8,0.74,0.26,0.09,0.25,20.4,7,0,0,1.6,1.6,0.07,0.4,0.4
ENG-Premier League,1920,Arsenal,Eddie Nketiah,ENG,FW,20,1999,7.0,2,15,5,33.3,2.13,0.71,0.13,0.4,12.2,0,0,0,3.1,3.1,0.21,-1.1,-1.1
ENG-Premier League,1920,Arsenal,Emile Smith Rowe,ENG,MF,19,2000,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Arsenal,Emiliano Martínez,ARG,GK,26,1992,8.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Arsenal,Gabriel Martinelli,BRA,FW,18,2001,7.4,3,12,5,41.7,1.63,0.68,0.25,0.6,12.9,0,0,0,2.2,2.2,0.18,0.8,0.8
ENG-Premier League,1920,Arsenal,Granit Xhaka,SUI,MF,26,1992,28.7,1,11,3,27.3,0.38,0.1,0.09,0.33,23.0,0,0,0,0.5,0.5,0.05,0.5,0.5
ENG-Premier League,1920,Arsenal,Henrikh Mkhitaryan,ARM,FW,30,1989,1.2,0,2,0,0.0,1.61,0.0,0.0,,13.5,0,0,0,0.3,0.3,0.16,-0.3,-0.3
ENG-Premier League,1920,Arsenal,Héctor Bellerín,ESP,"DF,MF",24,1995,12.9,1,7,2,28.6,0.54,0.16,0.14,0.5,16.9,0,0,0,0.4,0.4,0.05,0.6,0.6
ENG-Premier League,1920,Arsenal,Joe Willock,ENG,"MF,FW",19,1999,9.5,1,15,4,26.7,1.58,0.42,0.07,0.25,16.7,0,0,0,1.6,1.6,0.11,-0.6,-0.6
ENG-Premier League,1920,Arsenal,Kieran Tierney,SCO,"DF,MF",22,1997,11.0,1,6,2,33.3,0.55,0.18,0.17,0.5,20.6,0,0,0,0.2,0.2,0.04,0.8,0.8
ENG-Premier League,1920,Arsenal,Lucas Torreira,URU,MF,23,1996,16.8,1,21,6,28.6,1.25,0.36,0.05,0.17,18.8,0,0,0,1.4,1.4,0.07,-0.4,-0.4
ENG-Premier League,1920,Arsenal,Mattéo Guendouzi,FRA,MF,20,1999,19.4,0,11,5,45.5,0.57,0.26,0.0,0.0,22.2,0,0,0,0.8,0.8,0.07,-0.8,-0.8
ENG-Premier League,1920,Arsenal,Mesut Özil,GER,MF,30,1988,16.0,1,9,3,33.3,0.56,0.19,0.11,0.33,14.2,0,0,0,1.4,1.4,0.16,-0.4,-0.4
ENG-Premier League,1920,Arsenal,Nacho Monreal,ESP,DF,33,1986,3.0,0,1,0,0.0,0.33,0.0,0.0,,9.8,0,0,0,0.0,0.0,0.04,0.0,0.0
